T03,Population growth and indicators of fertility and mortality,,,,,
61,Polynesia,2015,Life expectancy at birth for both sexes (years),74.5,"Data refers to a 5-year period preceding the reference year.;Including American Samoa, Cook Islands, Niue, Pitcairn, Tokelau, Tuvalu, and Wallis and Futuna Islands.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
61,Polynesia,2015,Life expectancy at birth for males (years),72.0,"Data refers to a 5-year period preceding the reference year.;Including American Samoa, Cook Islands, Niue, Pitcairn, Tokelau, Tuvalu, and Wallis and Futuna Islands.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
61,Polynesia,2015,Life expectancy at birth for females (years),77.4,"Data refers to a 5-year period preceding the reference year.;Including American Samoa, Cook Islands, Niue, Pitcairn, Tokelau, Tuvalu, and Wallis and Futuna Islands.","United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
4,Afghanistan,2005,Population annual rate of increase (percent),4.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
4,Afghanistan,2005,Total fertility rate (children per women),7.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
4,Afghanistan,2005,"Infant mortality for both sexes (per 1,000 live births)",89.5,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
4,Afghanistan,2005,"Maternal mortality ratio (deaths per 100,000 population)",821,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
4,Afghanistan,2005,Life expectancy at birth for both sexes (years),56.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
4,Afghanistan,2005,Life expectancy at birth for males (years),55.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
4,Afghanistan,2005,Life expectancy at birth for females (years),58.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
4,Afghanistan,2010,Population annual rate of increase (percent),2.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
4,Afghanistan,2010,Total fertility rate (children per women),6.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
4,Afghanistan,2010,"Infant mortality for both sexes (per 1,000 live births)",76.7,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
4,Afghanistan,2010,"Maternal mortality ratio (deaths per 100,000 population)",584,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
4,Afghanistan,2010,Life expectancy at birth for both sexes (years),60.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
4,Afghanistan,2010,Life expectancy at birth for males (years),58.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
4,Afghanistan,2010,Life expectancy at birth for females (years),61.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2017."
4,Afghanistan,2015,Population annual rate of increase (percent),3.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2017 Revision, last accessed June 2017."
