T26,Population employed in research and development (R&D),,,,,
233,Estonia,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),211,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2015,R & D personnel: Total (number in full-time equivalent),"5,636",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2015,R & D personnel: Researchers - total (number in full-time equivalent),"4,187",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2015,R & D personnel: Researchers - women (number in full-time equivalent),"1,831",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2015,R & D personnel: Technicians - total (number in full-time equivalent),888,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2015,R & D personnel: Technicians - women (number in full-time equivalent),428,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),561,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),392,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2016,R & D personnel: Total (number in full-time equivalent),"5,771",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
233,Estonia,2016,R & D personnel: Researchers - total (number in full-time equivalent),"4,338",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2005,R & D personnel: Total (number in full-time equivalent),"5,112",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2005,R & D personnel: Researchers - total (number in full-time equivalent),"1,608",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2005,R & D personnel: Researchers - women (number in full-time equivalent),111,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2005,R & D personnel: Technicians - total (number in full-time equivalent),779,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"2,725",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2007,R & D personnel: Total (number in full-time equivalent),"6,051",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2007,R & D personnel: Researchers - total (number in full-time equivalent),"1,615",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2007,R & D personnel: Researchers - women (number in full-time equivalent),125,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2007,R & D personnel: Technicians - total (number in full-time equivalent),978,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2007,R & D personnel: Other supporting staff - total (number in full-time equivalent),"3,458",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2010,R & D personnel: Total (number in full-time equivalent),"8,282",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2010,R & D personnel: Researchers - total (number in full-time equivalent),"3,701",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2010,R & D personnel: Technicians - total (number in full-time equivalent),"1,441",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"3,140",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2013,R & D personnel: Total (number in full-time equivalent),"11,501",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2013,R & D personnel: Researchers - total (number in full-time equivalent),"4,267",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2013,R & D personnel: Researchers - women (number in full-time equivalent),556,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2013,R & D personnel: Technicians - total (number in full-time equivalent),"3,157",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2013,R & D personnel: Technicians - women (number in full-time equivalent),757,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2013,R & D personnel: Other supporting staff - total (number in full-time equivalent),"4,078",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
231,Ethiopia,2013,R & D personnel: Other supporting staff - women (number in full-time equivalent),"1,316",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
