T04,International migrants and refugees,,,,,
446,"China, Macao SAR",2010,International migrant stock: Female (% total Population),61.6,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
446,"China, Macao SAR",2010,"Asylum seekers, including pending cases (number)",9,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
446,"China, Macao SAR",2010,Other of concern to UNHCR (number),1,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
446,"China, Macao SAR",2010,Total population of concern to UNHCR (number),10,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
446,"China, Macao SAR",2015,International migrant stock: Both sexes (number),"342,703",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
446,"China, Macao SAR",2015,International migrant stock: Both sexes (% total population),57,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
446,"China, Macao SAR",2015,International migrant stock: Male (% total Population),54,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
446,"China, Macao SAR",2015,International migrant stock: Female (% total Population),59.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
446,"China, Macao SAR",2015,"Asylum seekers, including pending cases (number)",6,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
446,"China, Macao SAR",2015,Total population of concern to UNHCR (number),6,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
446,"China, Macao SAR",2017,International migrant stock: Both sexes (number),"353,654",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
446,"China, Macao SAR",2017,International migrant stock: Both sexes (% total population),56.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
446,"China, Macao SAR",2017,International migrant stock: Male (% total Population),53.8,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
446,"China, Macao SAR",2017,International migrant stock: Female (% total Population),59.6,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
446,"China, Macao SAR",2017,"Asylum seekers, including pending cases (number)",5,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
446,"China, Macao SAR",2017,Total population of concern to UNHCR (number),5,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
170,Colombia,2005,International migrant stock: Both sexes (number),"107,612",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
170,Colombia,2005,International migrant stock: Both sexes (% total population),0.2,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
170,Colombia,2005,International migrant stock: Male (% total Population),0.3,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
170,Colombia,2005,International migrant stock: Female (% total Population),0.2,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
170,Colombia,2005,Total refugees and people in refugee-like situations (number),155,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
170,Colombia,2005,"Asylum seekers, including pending cases (number)",41,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
170,Colombia,2005,Other of concern to UNHCR (number),"2,000,009",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
170,Colombia,2005,Total population of concern to UNHCR (number),"2,000,205",Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
170,Colombia,2010,International migrant stock: Both sexes (number),"124,271",,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
170,Colombia,2010,International migrant stock: Both sexes (% total population),0.3,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
170,Colombia,2010,International migrant stock: Male (% total Population),0.3,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
170,Colombia,2010,International migrant stock: Female (% total Population),0.3,,"United Nations Population Division, New York, International migrant stock: The 2017 Revision, last accessed January 2018."
170,Colombia,2010,Total refugees and people in refugee-like situations (number),212,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
170,Colombia,2010,"Asylum seekers, including pending cases (number)",167,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed February 2018."
