[T13.],Gross domestic product and gross domestic product per capita,,,,,
30,Eastern Asia,2010,GDP real rates of growth (percent),7.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,2015,GDP real rates of growth (percent),4.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,2016,GDP real rates of growth (percent),4.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
30,Eastern Asia,2017,GDP real rates of growth (percent),4.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,1985,GDP in current prices (millions of US dollars),"243,805",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,1995,GDP in current prices (millions of US dollars),"703,488",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,2005,GDP in current prices (millions of US dollars),"958,893",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,2010,GDP in current prices (millions of US dollars),"1,980,866",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,2015,GDP in current prices (millions of US dollars),"2,460,015",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,2016,GDP in current prices (millions of US dollars),"2,574,987",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,2017,GDP in current prices (millions of US dollars),"2,767,984",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,1985,GDP per capita (US dollars),609,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,1995,GDP per capita (US dollars),"1,449",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,2005,GDP per capita (US dollars),"1,707",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,2010,GDP per capita (US dollars),"3,316",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,2015,GDP per capita (US dollars),"3,876",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,2016,GDP per capita (US dollars),"4,012",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,2017,GDP per capita (US dollars),"4,266",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,1985,GDP in constant 2010 prices (millions of US dollars),"524,229",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,1995,GDP in constant 2010 prices (millions of US dollars),"1,052,745",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,2005,GDP in constant 2010 prices (millions of US dollars),"1,526,165",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,2010,GDP in constant 2010 prices (millions of US dollars),"1,980,866",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,2015,GDP in constant 2010 prices (millions of US dollars),"2,528,012",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,2016,GDP in constant 2010 prices (millions of US dollars),"2,644,528",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,2017,GDP in constant 2010 prices (millions of US dollars),"2,780,478",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,1985,GDP real rates of growth (percent),0.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,1995,GDP real rates of growth (percent),7.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,2005,GDP real rates of growth (percent),5.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,2010,GDP real rates of growth (percent),7.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,2015,GDP real rates of growth (percent),4.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,2016,GDP real rates of growth (percent),4.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
35,South-eastern Asia,2017,GDP real rates of growth (percent),5.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
34,Southern Asia,1985,GDP in current prices (millions of US dollars),"370,097",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
34,Southern Asia,1995,GDP in current prices (millions of US dollars),"616,292",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
34,Southern Asia,2005,GDP in current prices (millions of US dollars),"1,270,195",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
34,Southern Asia,2010,GDP in current prices (millions of US dollars),"2,542,992",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
34,Southern Asia,2015,GDP in current prices (millions of US dollars),"3,128,656",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
34,Southern Asia,2016,GDP in current prices (millions of US dollars),"3,323,136",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
34,Southern Asia,2017,GDP in current prices (millions of US dollars),"3,726,063",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
34,Southern Asia,1985,GDP per capita (US dollars),349,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed February 2018."
